County,YEAR,Milk_Unit_price_Kshs,Pork_Unit_price_Kshs,Wool_Unit_price_Kshs,Dairy_Cattle,Beef_Cattle,Wool_sheep,Hair_sheep,Dairy_Goats,Meat_Goats,Donkeys,Camels,Log_Hives,Langstroth_Hives,Box_hives,Cab_hives,Turkeys,Ducks,Geese,Guinea_fowl,Pigeons,Doves,Quails,Ostrich,pigs,Rabbits,Chicken_Broilers,Chicken_layers,Chicken_Indigenous,Honey_kg,Wax_kg,Eggs_Trays,Hides_No,Skins_No,Camel_meat_kg,Camel_meat_Unit_price_Kshs,Camel_meat_Total_value_Kshs,Honey_Kgs,Honey_Kgs_Unit_price_Kshs,Honey_Kgs_Total_value_Kshs,Hides,Hides_Unit_price_Kshs,Hides_Total_value_Kshs,Skins,Skins_Unit_price_Kshs,Skins_Total_value_Kshs,Milk_kg,Milk_Total_value_Kshs,Beef_kg,Beef_Unit_price_Kshs,Beef_Total_value_Kshs,Mutton_kg,Mutton_Unit_price_Kshs,Mutton_Total_value_Kshs,Pork_kg,Pork_Total_value_Kshs,Rabbit_meat_kg,Rabbit_Unit_price_Kshs,Rabbit_Total_value_Kshs,Poultry_meat_kg,Poultry_Unit_price_Kshs,Poultry_Total_value_Kshs,Wool_kg,Wool_Total_value_Kshs,chevon_kg,chevon_Unit_price_Kshs,chevon_Total_value_Kshs
Marsabit,2021,100,0,0,228,"268,882",NA,"1,052,437",78,"1,208,668","94,886","283,327",545,"2,271",NA,,NA,21,NA,NA,NA,NA,NA,NA,NA,58,"1,580","3,800","91,154","5,960",596,"35,798","2,052","8,320","929,622",470,"436,922,340","1,430",700,"1,001,000","21,349",150,"3,202,350","94,233",50,"4,711,650","597,559","59,755,900","1,558,345",445,"693,463,525","822,560",465,"382,490,400",NA,NA,NA,,NA,"131,931",775,"102,246,525",NA,NA,"92,353",600,"55,411,800"
Marsabit,2022,125,0,0,273,"130,486",NA,"668,029",102,"836,249","74,266","233,328",244,"2,282",NA,,NA,28,NA,NA,NA,NA,0,0,NA,68,"1,600","1,400","80,964",,,,,,"431,760",625,"269,850,000","14,695",670,"9,845,650","2,435",,NA,"33,232",,NA,"67,049,377","8,381,172,070","1,150,000",625,"718,750,000","1,055,880",625,"659,925,000",,NA,,,NA,"40,592",592,"24,016,933",,NA,"2,440,800",600,"1,464,480,000"
Marsabit,2023,0,0,0,396,"113,932",,"532,550",374,"627,253","72,968","183,388",391,"2,646",,,17,15,,8,,,,,,80,680,"8,630","75,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meru,2021,79,450,0,"216,600","227,908","31,340","74,386","38,540","223,130","5,425","2,120","32,344","2,640",NA,,"1,163","3,530","1,590","2,080",NA,NA,NA,NA,"38,365","24,450","63,360","133,600","1,322,770","558,028","27,901","2,234,583","950,078","187,655","5,950",450,"2,677,500","612,340",500,"306,170,000","16,706",150,"2,505,900","7,697",50,"384,850","322,086,366","25,409,035,540","3,600,000",450,"1,620,000,000","388,292",600,"232,975,200","1,430,640","643,788,000","110,025",500,"55,012,500","1,857,338",500,"928,668,750",NA,NA,"580,896",600,"348,537,600"
Meru,2022,79,450,0,"216,600","150,000","16,900","90,960","48,210","218,090","5,150","2,380","28,830","8,840",NA,NA,"1,163","3,530","1,590","2,080","3,050",NA,0,0,"39,740","24,450","127,840","378,040","1,087,350",,,,,,"5,950",450,"2,677,500","612,340",500,"306,170,000","202,700",120,"24,324,000","80,920",30,"2,427,600","322,086,366","25,409,035,540","3,600,000",450,"1,620,000,000","388,292",600,"232,975,200","1,430,640","643,788,000","110,025",500,"55,012,500","1,857,338",283,"526,245,625",,NA,"1,198,350",600,"719,010,000"
Meru,2023,0,0,0,"227,370","221,080","32,310","77,240","38,820","229,880","5,750","2,380","31,050","2,810",,,"1,200","3,520","1,615","2,080",,NA,NA,,"42,070","25,660","65,250","128,280","1,442,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,2021,63,400,0,"11,758","408,597",NA,"263,340","3,500","493,830","4,276",NA,959,"2,843",NA,,233,"6,669","1,133","2,749","1,652",464,"2,427",NA,"6,137","11,740","2,749","16,140","4,084,846","121,022","8,109","2,862,719","22,479","78,503",NA,,NA,"79,269",800,"63,415,200","1,964",150,"294,600","15,825",14,"221,550","17,433,699","1,089,606,188","4,366,474",456,"1,992,203,763","545,114",556,"303,219,551","321,185","128,473,800","2,519",500,"1,259,700","3,323,629",550,"1,827,995,692",,NA,"2,547,627",500,"1,273,813,380"
Migori,2022,75,450,0,"12,699","429,027",NA,"302,841","3,509","567,905","4,362",NA,959,"3,127",NA,NA,233,"6,802","1,133","2,860","1,702",522,2548.35,0,"7,058","4,199","2,804","16,624","4,289,088",,,,,,,,NA,"107,685","1,000","107,685,000","35,617",350,"12,465,950","134,302",200,"26,860,400","32,844,924","2,463,369,300","4,808,496",569,"2,734,832,214","651,865",444,"289,265,094","375,801","169,110,450",605,500,"302,500","4,503,316",367,"1,651,215,867",,NA,"1,228,376",588,"721,670,900"
Migori,2023,0,0,0,"13,334","441,898",,"310,413","3,579","584,943","4,462",,987,"3,378",,,240,"7,143","1,189","3,062","1,805",533,"2,625",,"7,339","4,326","2,817","20,500","4,632,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mombasa,2021,80,600,0,"2,888","7,585",NA,"2,292",262,"24,806",78,30,123,168,2,,743,"4,821",865,"1,731",NA,NA,"1,545",1,"3,063","1,343","119,021","37,589","87,840","4,096",409,"6,752",681,"1,282",NA,"3,600",NA,"4,947",800,"3,957,760","37,427",90,"3,368,430","124,389",50,"6,219,450","1,905,045","152,403,600","186,550",500,"93,275,000","9,500",600,"5,700,000","64,595","38,757,000","1,584",600,"950,400","1,217,535",600,"730,521,000",NA,NA,"3,543,689",600,"2,126,213,400"
Mombasa,2022,100,900,0,"2,901","7,462",NA,"2,266",244,"25,309",39,28,173,188,2,1,769,"6,038","4,967","1,824",585,392,1738,0,"2,346","1,319","118,441","36,748","76,307",,,,,,,600,NA,"5,037","1,000","5,037,000","1,499",100,"149,900","9,590",30,"287,700","1,901,222","190,122,200","184,426",550,"101,434,300","9,480",740,"7,015,200","64,323","57,890,700","1,584",800,"1,267,200","1,221,048",417,"508,770,000",,NA,"120,713",740,"89,327,620"
Mombasa,2023,0,0,0,"2,859","7,482",,"2,263",237,"25,248",27,28,173,388,2,,778,"6,130","4,993","1,905",608,403,"1,770",,"2,357","1,326","121,402","37,620","78,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murang'a,2021,46,500,225,,,,,,,,,,,,,,,,,,,,,,,,,,"151,335","9,301","3,781,498","39,126","9,066",NA,,NA,"753,133",600,"451,879,800","14,273",100,"1,427,292","27,056",20,"541,121","247,619,631","11,452,407,934","6,279,420",500,"3,139,710,000","53,640",600,"32,184,000","3,008,925","1,504,462,500","52,981",400,"21,192,400","1,803,241",500,"901,620,500","258,401","58,140,225","938,007",700,"656,604,900"
Murang'a,2022,44,500,0,"316,527","37,131","18,566","41,988","74,287","109,256","1,021",NA,"14,092","7,237",860,NA,"4,206","4,146","3,483","1,733","1,038",981,210,7,"52,842","63,075","98,448","585,875","987,822",,,,,,,,NA,"744,115",700,"520,880,500","43,229",35,"1,513,015","11,392",75,"854,400","253,100,272","11,136,411,968","6,379,467",500,"3,189,733,500","35,019",700,"24,513,300","2,996,862","1,498,431,000","53,554",400,"21,421,600","1,804,652",329,"594,031,283",,NA,"89,286",700,"62,500,200"
Murang'a,2023,0,0,0,"322,118","36,536","18,459","41,841","79,663","107,095","1,012",,"13,362","7,467",871,,"4,135","4,245","3,643","1,828","1,027",935,150,,"48,373","64,284","95,759","558,391","983,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,2021,70,300,70,"14,783","14,168",NA,"15,137","4,084","21,634",377,5,124,269,NA,,"5,011","14,692","4,930","2,143",NA,"2,208",638,NA,"23,754","26,971","296,868","179,300","253,847","28,950","1,448","46,589,043","2,895","12,257",NA,600,NA,"10,690",500,"5,345,000",NA,600,NA,"10,690",500,"5,345,000","20,262,610","1,418,382,700","334,813",400,"133,925,000","53,149",450,"23,916,938","1,036,260","310,878,000","26,934",400,"10,773,600","513,447",600,"308,068,410","20,262,610","1,418,382,700","334,813",400,"133,925,000"
Nairobi,2022,70,500,0,"14,225","15,405",NA,"14,173","4,332","22,030",378,6,111,248,NA,,"4,792","12,927","5,021","3,070","2,386","2,431",535,0,"19,188","25,649","284,830","165,810","242,835",,,,,,,,NA,"11,270",500,"5,635,000","2,119",800,"1,695,200","10,765",100,"1,076,500","19,653,060","1,375,714,200","314,963",650,"204,725,625","50,002",677,"33,864,991","982,920","491,460,000","26,222",400,"10,488,800","483,439",327,"157,923,407",,NA,"67,634",700,"47,343,800"
Nairobi,2023,0,0,0,"13,390","14,485",6,"13,334","4,412","21,810",400,3,99,275,,,"4,792","12,927","5,021","3,070","2,386","2,431",535,,"18,200","24,974","269,974","139,005","238,043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,2021,46,455,46,"435,638","173,898","239,815","415,731","31,452","248,587","25,423",100,"25,337","4,868","2,823",,"14,828","15,451","13,927",120,NA,NA,NA,2,"21,277","72,924","159,787","321,699","1,484,746","520,907","27,229","3,764,722","82,289","106,869",NA,,NA,"609,204",568,"345,723,270",NA,,NA,"609,204",568,"345,723,270","287,005,459","13,228,342,538","5,656,370",456,"2,581,361,354","2,100,550",535,"1,122,839,455","333,688","151,828,040","23,874",232,"5,534,311","3,125,566",482,"1,505,954,431","287,005,459","13,228,342,538","5,656,370",456,"2,581,361,354"
Nakuru,2022,48,500,49,"449,120","251,916","239,501","428,600","40,742","210,363","25,849",4,"27,040","6,064",710,,"14,897","15,403","14,320",160,56,240,50,14,"22,675","56,711","145,778","287,019","1,505,531",,,,,,,,NA,"813,606",640,"520,707,840","214,052",85,"18,097,124","194,683",56,"10,884,550","318,978,431","15,223,970,570","4,242,880",517,"2,192,797,269","2,699,731",582,"1,570,752,727","361,310","180,654,750","30,812",340,"10,475,910","4,659,375",296,"1,377,104,226","193,094","9,378,842","927,027",582,"539,361,164"
Nakuru,2023,0,0,0,"466,779","251,150","259,503","537,937","47,593","298,170","21,490",,"27,861","6,944",319,,"15,803","17,755","15,286",NA,NA,NA,NA,,"27,517","66,376","164,613","301,737","1,559,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,2021,41,400,41,"176,610","71,537","10,615","92,279","3,811","32,816","4,249",NA,"1,524","6,729",NA,,411,537,NA,NA,NA,NA,NA,NA,880,"4,033","25,614","72,909","673,888","109,104","12,789","818,583","9,201","23,944",NA,,NA,"149,325",700,"104,527,589","1,253,072",173,"217,272,842","1,734,934",50,"86,848,933","166,582,405","6,885,406,072","1,395,262",500,"697,630,750","283,322",600,"169,993,445","18,184","7,273,728",523,400,"209,104","354,876",600,"212,925,457","166,582,405","6,885,406,072","1,395,262",500,"697,630,750"
Nandi,2022,44,450,0,"179,437","71,040","10,324","93,743","3,542","29,356","4,249",NA,"1,588","7,142",NA,NA,377,511,379,496,NA,NA,0,0,984,"3,734","20,982","58,328","539,107",,,,,,,,NA,"238,266",700,"166,786,200","9,484",200,"1,896,800","42,832",200,"8,566,400","190,457,736","8,443,626,296","1,426,465",592,"843,991,673","357,061",650,"232,089,650","20,412","9,185,400",587,400,"234,800","395,286",517,"204,231,100",,NA,"60,541",650,"39,351,650"
Nandi,2023,0,0,0,"182,667","72,882","10,413","102,002","3,606","31,339","4,588",,"1,752","8,088",,,397,549,399,"2,451",,,,,"1,105","4,197","23,542","62,523","547,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok,2021,50,500,50,"96,197","1,430,352","72,086","2,596,824","4,854","995,861","85,657",NA,"25,268","4,902",NA,,282,830,369,100,28,NA,NA,NA,"2,191","3,915","4,460","53,290","704,844","523,946","52,395","29,242,505","21,218","51,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok,2022,45,600,180,"99,082","1,401,745","72,743","2,622,793","4,902","995,616","86,941",NA,"24,267","4,950",411,,304,869,391,128,41,21,0,0,"2,365","3,954","4,717","55,649","721,349",,,,,,,,NA,"49,699",600,"29,819,400","7,598",375,"2,849,250","96,457",60,"5,787,420","111,173,488","5,002,806,960","32,170,042",600,"19,302,024,900","3,477,823",700,"2,434,476,100","111,602","66,961,200","1,199",400,"479,600","695,163",367,"254,893,100","25,957","4,672,260","1,024,465",700,"717,125,500"
Narok,2023,0,0,0,"101,940","1,387,727","73,196","2,649,020","4,927","956,090","87,810",,"23,781","5,098",424,,309,878,394,150,52,28,,,"2,530","3,994","5,001","58,987","768,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,2021,60,400,60,"35,662","87,062",NA,"12,749","1,287","41,513",NA,NA,254,"2,538",309,,586,612,381,NA,NA,NA,NA,NA,"1,424","2,939","10,574","66,375","489,836","93,632","8,166","764,289","3,307","5,964",NA,,NA,"85,787","1,000","85,786,750",NA,,NA,"85,787","1,000","85,786,750","22,431,108","1,345,866,476","1,075,719",500,"537,859,700","61,970",500,"30,985,000","56,370","22,547,840",845,400,"337,952","903,249",800,"722,598,968","22,431,108","1,345,866,476","1,075,719",500,"537,859,700"
Nyamira,2022,54,0,0,"36,018","87,933",NA,"12,877","1,301","41,929",750,NA,259,"2,588",315,,592,617,385,633,53,334,364,0,"1,438","2,968","10,680","67,039","494,733",,,,,,,,NA,"134,831","1,000","134,831,000","7,833",100,"783,300","19,567",50,"978,350","37,251,274","2,011,568,796","1,182,440",600,"709,464,180","63,223",700,"44,256,100",,NA,"2,350",400,"940,000","774,899",600,"464,939,400",,NA,"205,818",800,"164,654,400"
Nyamira,2023,0,0,0,"36,380","88,814",320,"13,137","1,361","42,767",758,,261,"2,614",318,,598,622,389,639,54,337,368,,"1,510","3,116","10,787","67,709","499,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,2021,46,530,46,"358,100","35,800","283,000","193,000","17,280","65,400","10,040",7,"11,320","4,010",NA,,"7,080","7,500","8,540",15,NA,NA,NA,3,"6,200","40,700","46,500","28,500","558,200","169,555","16,956","556,493","12,239","51,136",,,NA,"281,797",800,"225,437,600",,,NA,"281,797",800,"225,437,600","245,596,375","11,297,433,250","5,475,050",540,"2,956,527,000","1,775,750",620,"1,100,965,000","146,985","77,902,050","43,110",600,"25,866,000","875,042",660,"577,527,720","245,596,375","11,297,433,250","5,475,050",540,"2,956,527,000"
Nyandarua,2022,42,600,20,"366,740","38,380","309,180","207,470","18,965","72,040","10,148",8,"10,850","5,820",670,,"9,542","10,855","11,371",NA,NA,250,0,0,"7,000","45,353","40,190","29,370","694,060",,,,,,,,NA,"309,120",800,"247,296,000",,,NA,,,NA,"296,834,640","12,467,054,880","4,730,300",600,"2,838,180,000","1,532,275",800,"1,225,820,000","307,080","184,248,000","47,470",500,"23,735,000","499,030",433,"216,246,333","1,020,000","20,400,000","164,880",800,"131,904,000"
Nyandarua,2023,0,0,0,"385,200","40,300","340,200","228,300","20,900","79,500","8,420",,"10,850","6,178",670,,"9,940","12,220","12,720",10,,560,,,"8,530","56,550","44,000","35,100","832,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,2021,47,500,47,,,,,,,,,,,,,,,,,,,,,,,,,,"6,370",10,"853,760","16,120","78,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
